         6384841 function calls (6246808 primitive calls) in 1127.106 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.026    0.026 polar.py:1(<module>)
    25194    0.010    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
   319326    0.025    0.000    0.025    0.000 {method 'lstrip' of 'str' objects}
     9851    0.017    0.000    0.025    0.000 inspect.py:2750(__init__)
    63912    0.024    0.000    0.024    0.000 {method 'format' of 'str' objects}
     4702    0.010    0.000    0.023    0.000 version.py:271(__init__)
55088/54650    0.013    0.000    0.022    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.022    0.022 rules.py:1(<module>)
        1    0.000    0.000    0.022    0.022 rules.py:15(_init_casting_rules)
        1    0.000    0.000    0.022    0.022 image.py:4(<module>)
       40    0.000    0.000    0.021    0.001 castgraph.py:119(insert_rule)
      208    0.021    0.000    0.021    0.000 {built-in method io.open}
    17800    0.005    0.000    0.021    0.000 _asarray.py:183(ascontiguousarray)
   354737    0.021    0.000    0.021    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.021    0.021 buffer.py:4(<module>)
       40    0.004    0.000    0.021    0.001 castgraph.py:92(propagate)
     9180    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
    10122    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     1168    0.018    0.000    0.020    0.000 sre_compile.py:276(_optimize_charset)
  195/171    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
  195/171    0.005    0.000    0.020    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.019    0.019 axis3d.py:5(<module>)
        1    0.000    0.000    0.019    0.019 _axes.py:46(Axes)
        1    0.000    0.000    0.019    0.019 requirements.py:4(<module>)
    35631    0.019    0.000    0.019    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    43523    0.018    0.000    0.018    0.000 {method 'split' of 'str' objects}
      200    0.001    0.000    0.018    0.000 <__array_function__ internals>:2(mean)
    18000    0.006    0.000    0.018    0.000 shape_base.py:219(_vhstack_dispatcher)
   169263    0.017    0.000    0.017    0.000 {method 'startswith' of 'str' objects}
    26369    0.010    0.000    0.017    0.000 enum.py:289(__call__)
      894    0.001    0.000    0.017    0.000 __init__.py:2563(__init__)
     1658    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.017    0.017 quiver.py:15(<module>)
        2    0.000    0.000    0.017    0.008 text.py:3(<module>)
76493/76408    0.014    0.000    0.017    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.017    0.017 lines.py:3(<module>)
    13799    0.017    0.000    0.017    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.017    0.017 connectionpool.py:1(<module>)
    28812    0.009    0.000    0.016    0.000 version.py:187(_parse_version_parts)
     1012    0.001    0.000    0.016    0.000 __init__.py:1312(safe_version)
      200    0.002    0.000    0.016    0.000 fromnumeric.py:3301(mean)
     1450    0.008    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    39246    0.007    0.000    0.015    0.000 sre_parse.py:254(get)
        2    0.000    0.000    0.015    0.008 connection.py:1(<module>)
    71400    0.015    0.000    0.015    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
        1    0.000    0.000    0.015    0.015 common.py:2(<module>)
       21    0.000    0.000    0.015    0.001 castgraph.py:131(unsafe)
        1    0.000    0.000    0.015    0.015 common.py:8(pyparsing_common)
        1    0.000    0.000    0.015    0.015 application.py:10(<module>)
        1    0.000    0.000    0.015    0.015 ipapp.py:6(<module>)
      552    0.014    0.000    0.014    0.000 {built-in method builtins.dir}
1619/1498    0.001    0.000    0.014    0.000 typing.py:248(inner)
    35600    0.014    0.000    0.014    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      200    0.006    0.000    0.014    0.000 _methods.py:161(_mean)
    53420    0.010    0.000    0.014    0.000 sre_parse.py:164(__getitem__)
      376    0.002    0.000    0.014    0.000 _util.py:349(getfullargspec_no_self)
      216    0.007    0.000    0.014    0.000 artist.py:1358(<listcomp>)
